,linie,richtung,betriebsdatum,fahrzeug,kurs,seq_von,halt_diva_von,halt_punkt_diva_von,halt_kurz_von1,datum_von,soll_an_von,ist_an_von,soll_ab_von,ist_ab_von,seq_nach,halt_diva_nach,halt_punkt_diva_nach,halt_kurz_nach1,datum_nach,soll_an_nach,ist_an_nach1,soll_ab_nach,ist_ab_nach,fahrt_id,fahrweg_id,fw_no,fw_typ,fw_kurz,fw_lang,umlauf_von,halt_id_von,halt_id_nach,halt_punkt_id_von,halt_punkt_id_nach,arrivelate
1,10,2,20.09.15,3063,2,2,1608,0,LOEW,20.09.15,72840,72923,72876,72939,3,412,0,BPLA,20.09.15,72924,73077,72966,73098,402421,3748,2,1,2,GESS - FRAF,105550,2256,1541,5127,3452,153
2,7,2,20.09.15,2099,3,3,1660,1,MORG,20.09.15,43728,43788,43752,43811,4,2005,1,PWOL,20.09.15,43806,43882,43830,43897,36843,27,2,1,2,WOLL - BSTE,90275,1511,2487,3348,5704,76
3,7,1,20.09.15,2118,4,29,1660,0,MORG,20.09.15,60150,60204,60186,60227,30,586,0,BUTZ,20.09.15,60228,60274,60246,60288,36878,26,1,1,1,BSTE - WOLL,91730,1511,2488,3349,5708,46
4,10,1,20.09.15,3064,5,20,1550,0,LETZ,20.09.15,30720,30778,30744,30781,21,1399,0,KINK,20.09.15,30768,30814,30786,30818,402488,3747,1,1,1,FRAF - GESS,105873,2274,2292,5183,5233,46
5,11,2,20.09.15,3081,9,29,3154,1,MEHA,20.09.15,86268,86256,86286,86262,30,1552,1,LEUT,20.09.15,86346,86326,86364,86331,401433,11235,2,1,2,REHA - ZAUZ,104974,1884,1443,4218,3179,-20
6,308,1,20.09.15,10281,2,17,838,51,FSTR,20.09.15,27672,27726,27678,27733,18,6347,51,SCHB,20.09.15,27732,27784,27810,27811,433037,12595,1,1,1,BALN - OBUR,106230,2476,1540,5673,3445,52
7,15,1,20.09.15,2055,5,4,2158,2,SPLA,20.09.15,69456,69487,69486,69503,5,2128,0,ROES,20.09.15,69546,69578,69564,69587,346088,4624,1,1,1,BUCH - KLUS,104096,1539,2022,3436,4568,32
8,79,1,21.09.15,10338,1,1,134,20,AUZO,21.09.15,35160,35254,35160,35254,2,132,20,ZAUZ,21.09.15,35214,35296,35226,35296,181495,4906,3,1,3,AUZO - SCHW,96155,2816,2083,6723,4741,82
9,79,1,21.09.15,10338,1,6,2294,20,SCHW,21.09.15,30726,30729,30744,30739,7,2294,22,SCHW,21.09.15,30786,30899,30786,31119,181560,4906,3,1,3,AUZO - SCHW,96155,1501,1501,3308,3306,113
10,79,2,21.09.15,10338,1,4,3001,21,ORIO,21.09.15,71964,72017,71982,72017,5,132,21,ZAUZ,21.09.15,72042,72049,72060,72062,181576,4907,4,1,4,SCHW - AUZO,96155,2694,2083,6399,4743,7
11,46,1,21.09.15,10106,1,16,3786,10,OKEN,21.09.15,28170,28307,28194,28317,17,2474,0,STAM,21.09.15,28362,28459,28392,28478,354053,4714,1,1,1,RUET - BQUA,103950,2758,2088,6565,4762,97
12,17,2,21.09.15,3033,1,15,2707,1,TUEF,21.09.15,58914,58857,58938,58873,16,1041,1,GRUN,21.09.15,58998,58947,59028,58957,351894,4374,2,1,2,GESS - WERD,104531,2580,2544,6312,5900,-51
13,17,1,21.09.15,2076,2,15,2395,0,SIHL,21.09.15,57318,57375,57360,57396,16,413,0,BQUA,21.09.15,57468,57527,57528,57543,351935,4373,1,1,1,WERD - GESS,103832,2289,1542,5222,3457,59
